"","FLR_Accommodation","FLR_Agriculture","FLR_AT","FLR_Government_Support","FLR_Heavy_Industry","FLR_Hospital","FLR_Institutional","FLR_K12","FLR_Light_Industry","FLR_Logging","FLR_MF","FLR_MH","FLR_Office","FLR_Retail","FLR_RRMH","FLR_RRSFD","FLR_SFD","FLR_Warehouse"
"2854",10535.2287934,0,93780.9947251,51692.2225477,0,0,60351.6628446,40167.0979556,18929.9091667,0,61874.1355205,43456.4657434,105137.714145,155052.365755,126.285836744,0,683151.09019,291655.292892
"2855",0,0,48638.4850678,0,3186.92867654,0,23468.8203233,37135.6188649,37276.4621186,0,29435.864044,125852.274524,52001.3456771,79735.8272997,126.285836744,0,291414.773232,264540.565029
"2856",5708.32225957,358890000,75701.4949864,192.709044445,301744.678895,0,8269.46395914,17919.5284899,15151.3585298,0,126520.662669,288096.715097,6501.16650096,11899.4917101,218.192162054,345.648087937,996179.643496,0
"2857",2653.55455831,863973786.4,0,1149.80945678,0,0,0,0,9930.3224459,139126213.6,129.971537929,479466.458069,2790.70975335,3721.10979573,458236.900454,1083274.86235,394835.569019,1545.18936248
"2858",0,22718999999,29166.892068,0,0,0,0,0,0,0,129.971537929,29715.6727605,0,0,28400.0329154,191050.787932,69635.0925217,1545.18936248
"2859",0,33391000002,54172.9449502,0,0,0,322.531810975,4552.1965552,0,16404408,311.848208372,64653.6931201,0,0,31563.3138415,97567.1226757,150933.470622,1538.629189
"2860",1168.28347845,3368941160,54984.2323619,674.291936431,3981.83770666,0,4302.99959774,11374.5095437,5441.87388114,0,1914.59525309,9072.82420816,56671.9332916,25012.2152253,136559.066079,3010488.96016,1267212.18677,0
"2861",16909.0367794,553002379.7,9756.02055543,505.958256168,0,0,3076.80770044,9858.81447358,6995.29970786,4224725.8,0,2602.0570958,56571.0974517,66310.0569743,15991.4264293,876735.807233,189864.496148,164249.507669
"2862",1090.59661031,322910697.7,0,0,0,0,340.412766852,9100.44412942,74170.9893651,73921835.4,0,17711.4385884,68874.6018019,32653.9258658,108823.669931,989432.803446,214599.994164,0
"2863",0,378395975,349.119639486,0,4380.56096482,0,5228.69694603,8938.16447749,4103.59339809,0,0,74013.3171711,9517.12090107,615.707563627,205541.887639,625885.363152,193871.360812,0
"2864",0,243330000,34012.9602278,0,0,0,733.273396261,0,481.673466279,0,1287.27812838,87911.7502486,18490.6029363,0,149873.390636,1006227.4389,727390.986495,4725.08679074
"2865",0,406450000,10628.8874777,1139.8096266,8208.83408841,0,3818.55579938,0,17756.8868228,0,0,68200.6677194,9089.48454205,43708.6985303,189378.470955,711209.605867,220423.85268,18900.3471629
"2866",13442.344568,267680000,225823.978878,0,241851.96786,0,15144.5292558,9140.91726284,74830.7382909,0,85673.4578894,184976.579117,48410.5850218,111230.034264,0,0,1508251.51878,1517.48338671
"2867",0,0,64311.6286598,0,0,0,16124.1236451,19043.577631,1635.86091391,12393149.66,34036.4142652,190368.280105,11998.9398347,1140.35407562,0,528.60285221,1122196.56818,1517.48338671
"2868",1764.54019453,0,26053.6419397,0,216056.476354,97454.6989805,35127.1023306,0,62894.1633675,0,117075.427124,127242.822654,113937.006077,249071.73942,0,0,458786.425796,2779010.07866
